agent_id,count
3517,8542
451,456
3650,6994
3015,29950
2756,11189
2275,5555
2464,20801
2393,10494
3826,2141
3441,2061
3281,2698
2110,9757
1669,5272
4838,2806
125,195
3858,2003
4894,4520
1372,1273
853,239
3368,608
800,448
5067,289
4975,318
5023,166
1394,297
944,43
1903,4542
3652,20070
447,3139
3121,7638
5057,1128
3249,2944
4276,1526
4583,10357
1953,9561
2550,12425
2930,5851
2895,1150
3312,2553
2034,926
4249,2437
4988,738
51,203
1528,1092
4665,535
124,4622
2888,2264
3266,1425
7,130
4236,159
591,130
1987,1432
2644,29226
1880,12512
3848,7891
3786,1823
3179,14667
2789,4014
1706,12867
1043,5764
5071,217
3299,3660
4818,5207
4736,4123
2477,25198
4690,1063
4417,2640
2915,3334
4776,7522
2808,6198
4719,2727
577,2886
4782,7088
2129,1598
747,2155
2495,7688
3241,1063
3875,1512
4569,2307
169,1179
1425,3146
2402,4853
3553,3081
334,1085
4980,745
4672,665
740,80
4465,217
544,130
581,80
205,87
2729,1917
2628,19246
2605,22464
1435,10704
1765,5779
1487,2980
2720,12129
3953,20844
15,4484
234,4614
3089,10603
4789,1034
1008,2640
1305,2119
4415,5518
2953,1569
383,2683
3661,14140
3454,1085
54,1642
1686,2640
3819,3146
2199,1367
2144,991
448,1974
3280,4513
4856,376
282,868
5079,268
232,542
2341,1056
700,130
3581,10972
987,8990
4437,17177
4403,6227
714,3428
4740,2199
3967,11963
2931,4238
3711,2401
3140,4730
4564,1107
2762,2184
3490,702
4165,412
3781,1504
4044,1635
154,383
132,239
3808,318
727,485
3740,463
317,376
4369,427
4884,297
2079,557
1093,4368
2714,17900
938,6177
986,11955
3584,13901
1539,1895
101,7088
1518,6943
2683,12129
2354,3609
3521,2582
1793,1692
4864,231
5045,282
1958,926
1624,1041
1235,1215
672,2343
3578,853
854,188
1192,774
3742,796
5076,347
1259,253
11,87
1041,43
4638,6690
1910,10342
3660,20519
4765,4419
2272,4513
1111,15586
3107,12830
3019,6133
4215,94
4738,5678
1497,2040
351,767
387,3826
323,2900
2139,5056
961,3030
361,1823
3728,629
138,1230
823,521
3378,730
1620,188
2799,19354
3074,22341
3550,12838
2896,12628
3933,22978
4059,5092
42,861
3494,7493
2587,3211
4626,1251
1470,383
1100,4600
424,3587
3922,2698
4573,868
112,593
863,1555
586,3067
4272,4434
534,456
991,514
1728,1049
3646,19463
3496,13807
3914,11174
2702,26847
2701,18146
3090,10559
4584,1483
64,51
4631,5367
1584,3783
3582,6068
1972,2502
1429,1808
2349,774
459,514
4144,2965
4132,1099
4817,1425
1692,2763
3777,1562
1021,362
512,362
308,665
2149,2191
2224,564
2155,456
4837,571
3745,1208
2031,998
356,492
4370,738
710,268
4953,434
348,195
1673,470
1556,2372
4015,5699
4823,10140
4094,16222
1365,8252
3288,3030
3466,1251
1215,8296
2447,6126
1298,2394
2759,8665
1314,5034
3988,2336
3597,9279
4130,5258
1569,2235
3386,1974
406,4629
3615,9916
113,3016
3346,3631
1012,4325
3478,448
4269,2264
4216,253
432,87
2943,1309
4478,152
4024,1208
2026,195
584,239
4830,203
30,137
4372,4448
874,2748
4942,1193
2339,16476
3058,14190
4882,3392
133,2553
2252,11738
3580,1193
2562,2336
1097,4694
2791,1757
4341,246
3733,347
4358,3573
3794,1352
2739,1128
878,231
3316,1063
5017,203
5062,51
989,4397
1836,18465
2669,13170
1282,2032
3060,10574
1678,3869
4717,4600
3162,18190
3468,10711
2572,6090
2164,1497
4278,4274
1535,1114
2281,7182
1775,810
903,2582
1459,1533
59,506
2353,2105
162,94
2703,27115
2522,17792
3911,14422
410,12852
2350,15651
3702,20873
2403,9619
1906,7305
1965,4079
3300,4925
3747,20931
1004,2524
1431,3240
1877,2003
1664,947
71,246
3118,1750
2056,651
4026,2553
1514,1215
2588,817
4317,752
4904,80
5053,217
2596,3312
2604,25169
2840,12049
2793,12411
3797,1352
2821,15369
980,12961
3360,8534
3054,28214
2375,7384
2709,33450
3314,7724
959,687
276,1519
1286,1230
1133,1880
1783,2126
528,4665
3773,8079
1486,2358
2954,4405
1371,882
98,810
4373,1598
1841,1237
1416,1627
298,94
749,1439
1962,1157
4073,470
188,362
3272,275
4300,29
223,4983
4829,1157
2557,6777
1340,26724
3627,7927
568,8737
4609,7905
1549,3233
4607,579
594,3906
1141,383
2253,2235
195,2011
466,629
47,875
629,152
3551,2076
2036,159
4217,3739
902,1150
4769,1808
99,137
3821,492
458,477
4642,5569
2131,2105
4414,8607
3947,19361
2547,1750
4825,3537
3670,7869
1488,839
2676,14892
1519,9605
3572,1186
3607,1085
4608,1186
4539,1446
4929,2365
2319,2495
3352,2835
1954,962
4267,297
697,137
2396,14508
3153,15767
2811,23853
3003,15347
3446,2792
4702,13055
1185,1302
372,7739
3771,485
4018,752
565,2372
554,825
4389,2387
2795,4708
1375,947
110,1360
107,521
1269,116
892,419
4466,796
3248,246
726,51
4323,87
3524,16902
3622,3812
3958,11912
2805,16331
2640,23057
3860,3096
2776,15514
3527,4188
785,6191
3672,6234
1721,3971
3883,1287
1191,3052
4699,2900
4570,1801
3176,16844
4667,2604
4549,629
4652,166
3653,8288
1770,2763
2823,1996
3976,1953
824,231
1076,231
928,1649
3276,1403
2755,10740
1010,17705
1645,1410
4258,796
3849,2633
1544,3501
